id,market,price,signedChangeRate,accTradePrice24h,accTradeVolume24h,rankByChangeRate,rankByTradeValue,timestamp
2053298,KRW-2Z,138.0,-0.1038961039,799794302.7933344,5517066.89445393,256,153,1778888742253
2053299,KRW-BOUNTY,30.7,-0.0495356037,457601794.5057907,14663018.69434833,177,199,1778888742253
2053300,KRW-KAITO,663.0,-0.0363372093,1663312765.9011886,2382336.64701231,117,103,1778888742253
2053301,KRW-LPT,3151.0,-0.0366860287,365681594.5791169,114508.5127951,120,214,1778888742253
2053302,KRW-BLAST,0.699,-0.0476839237,703737168.5572443,988405243.0328093,167,165,1778888742253
2053303,KRW-ETHFI,610.0,-0.0715372907,873970121.5978379,1383255.96128919,239,145,1778888742253
2053304,KRW-DKA,8.75,-0.0234375,855572444.6168463,96825999.36114329,61,147,1778888742253
2053305,KRW-ANKR,7.31,-0.0266311585,789249542.481607,107639529.9555772,74,155,1778888742253
2053306,KRW-ALGO,169.0,-0.0397727273,1672093914.698787,9772384.19747922,137,102,1778888742253
2053307,KRW-SHIB,0.00912,-0.0318471338,6433715630.730216,696838764461.9153,102,33,1778888742253
2053308,KRW-UNI,5365.0,-0.025431426,1778926228.0040789,328185.68609687,67,97,1778888742253
2053309,KRW-BIO,62.2,-0.0744047619,9980327809.785624,151680104.2420296,244,22,1778888742253
2053310,KRW-WLFI,98.0,-0.0392156863,3379289519.6802726,33599436.40682723,136,63,1778888742253
2053311,KRW-UP2,222.0,-0.1294117647,16689973228.881268,70388812.22441529,260,17,1778888742253
2053312,KRW-TOKAMAK,824.0,-0.0108043217,1317718445.2176132,1601339.28866907,31,116,1778888742253
2053313,KRW-SKY,105.0,-0.0277777778,272598322.26024055,2541644.44495564,78,231,1778888742253
2053314,KRW-CYBER,770.0,-0.038701623,526772184.5769809,677905.1000934,134,191,1778888742253
2053315,KRW-SKR,23.2,-0.0333333333,244410814.90313438,10522637.94680285,106,238,1778888742253
2053316,KRW-DOGE,169.0,-0.0058823529,44594379111.43048,263315997.02214667,26,8,1778888742253
2053317,KRW-WLD,365.0,-0.0568475452,4333370730.807722,11711289.73658291,205,46,1778888742253
2053318,KRW-PEPE,0.00582,-0.0364238411,2946235956.2469563,498793374096.19086,118,67,1778888742253
2053319,KRW-HBAR,138.0,-0.0142857143,3192035761.619823,22997023.91665509,35,65,1778888742253
2053320,KRW-BCH,635000.0,-0.0132090132,2579940646.02134,4035.40221204,33,73,1778888742253
2053321,KRW-NEWT,114.0,-0.05,596496731.1200627,5150900.63243279,180,179,1778888742253
2053322,KRW-SEI,94.5,-0.0483383686,4291991809.420484,44416289.84891101,172,47,1778888742253
2053323,KRW-BONK,0.00971,-0.0386138614,1555758177.136817,156932656439.5732,133,108,1778888742253
2053324,KRW-JST,136.0,0.0149253731,547081921.4497956,4055139.00081444,14,190,1778888742253
2053325,KRW-AAVE,138200.0,-0.0482093664,4143003050.103454,29307.23700752,171,51,1778888742253
2053326,KRW-JTO,668.0,-0.1222076216,4547910338.552789,6237084.6845607,259,43,1778888742253
2053327,KRW-JUP,314.0,-0.0513595166,770271910.268116,2413258.03272999,187,156,1778888742253
2053328,KRW-VVV,20620.0,-0.051954023,4715074841.76885,226483.39253415,192,42,1778888742253
2053329,KRW-PIEVERSE,1481.0,0.0143835616,33138098406.180508,22574680.21043197,15,11,1778888742253
2053330,KRW-ALT,10.3,-0.0636363636,414870320.12940973,39204485.22314362,226,207,1778888742253
2053331,KRW-B3,1.6,-0.0697674419,7084219074.036497,4358808365.364545,235,29,1778888742253
2053332,KRW-LAYER,143.0,-0.0337837838,3809493832.901004,26620876.30757757,108,55,1778888742253
2053333,KRW-TRX,524.0,0.0019120459,2789556313.7170544,5333923.7140988,23,69,1778888742253
2053334,KRW-POWR,96.5,-0.0082219938,897733968.6935664,9177781.54774859,28,143,1778888742253
2053335,KRW-ATOM,2876.0,-0.0479973519,730786213.568484,248725.53605846,170,160,1778888742253
2053336,KRW-ARKM,187.0,-0.065,586626402.9999967,3044543.4745484,228,181,1778888742253
2053337,KRW-CRO,108.0,-0.0442477876,2108680255.0132039,18946513.90436178,156,85,1778888742253
2053338,KRW-NXPC,505.0,-0.0489642185,688726237.0159241,1334371.15572175,176,167,1778888742253
2053339,KRW-A,129.0,-0.0514705882,629625908.3476115,4780277.48344386,188,175,1778888742253
2053340,KRW-TRUMP,3346.0,-0.0469951581,6166510918.732882,1809660.34488672,163,34,1778888742253
2053341,KRW-F,8.19,-0.03985932,381640174.1454156,45819391.79940152,138,212,1778888742253
2053342,KRW-G,5.5,-0.0367775832,384464734.9939044,69388142.79471838,121,210,1778888742253
2053343,KRW-CELO,133.0,-0.0220588235,713700677.7976104,5368076.26845354,57,163,1778888742253
2053344,KRW-AERO,665.0,-0.0699300699,231623576.20603174,337897.77881439,236,241,1778888742253
2053345,KRW-CTC,223.0,-0.0304347826,726746082.0467497,3236944.04509815,92,161,1778888742253
2053346,KRW-ANIME,6.81,-0.0421940928,866602286.1720399,125818452.8683994,145,146,1778888742253
2053347,KRW-APT,1471.0,-0.0540192926,2784249460.480351,1854839.12623886,196,70,1778888742253
2053348,KRW-MOCA,20.6,-0.0593607306,501305208.15363324,24187641.93725345,215,192,1778888742253
2053349,KRW-API3,516.0,-0.0479704797,1004554208.0844568,1896520.25859013,169,133,1778888742253
2053350,KRW-AHT,2.27,-0.0299145299,161626449.12502,70415171.64510176,89,254,1778888742253
2053351,KRW-EGLD,6245.0,-0.0516324981,293473720.50198215,46233.92162003,189,223,1778888742253
2053352,KRW-BLEND,166.0,-0.0674157303,2769195656.0410085,16327677.00777688,231,72,1778888742253
2053353,KRW-ERA,198.0,-0.0434782609,278595349.2327536,1393756.12137666,150,228,1778888742253
2053354,KRW-FF,132.0,0.1379310345,29154889300.471302,223148298.3142414,2,13,1778888742253
2053355,KRW-PLUME,18.0,-0.0721649485,1590644495.0960627,85507650.68307035,242,106,1778888742253
2053356,KRW-ESP,112.0,0.046728972,2295514685.3517027,20636789.08735314,4,79,1778888742253
2053357,KRW-CC,235.0,-0.0289256198,1728557991.2923067,7109643.55722121,83,98,1778888742253
2053358,KRW-NEO,4434.0,-0.0433656958,853660355.0020369,189110.52702335,149,148,1778888742253
2053359,KRW-ETC,13770.0,-0.0157255182,2778445529.98336,202572.41839745,39,71,1778888742253
2053360,KRW-IOTA,86.6,-0.0607375271,793716609.5645636,8901349.56410602,217,154,1778888742253
2053361,KRW-IOST,1.64,-0.0574712644,310069577.29253745,189059783.13562348,206,222,1778888742253
2053362,KRW-AKT,1084.0,-0.0813559322,3540646571.089031,3052549.05444708,251,59,1778888742253
2053363,KRW-COW,264.0,-0.0434782609,202749628.96175456,761815.56485655,151,245,1778888742253
2053364,KRW-VIRTUAL,1117.0,-0.0329004329,9291106893.413391,8141128.2891057,105,25,1778888742253
2053365,KRW-ETH,3310000.0,-0.018677735,109595077932.72282,32890.15461119,47,4,1778888742253
2053366,KRW-IQ,1.63,-0.0297619048,273715834.34013355,166950222.57738066,87,230,1778888742253
2053367,KRW-IP,746.0,-0.0592686003,6844316507.411351,8907938.19795787,214,30,1778888742253
2053368,KRW-NEAR,2293.0,-0.0141874463,5453611622.83943,2369898.04835288,34,39,1778888742253
2053369,KRW-RVN,8.47,-0.0385925085,574117063.1582654,66557733.63172882,132,185,1778888742253
2053370,KRW-PRL,329.0,-0.1132075472,2513148499.799333,7316115.36837136,258,75,1778888742253
2053371,KRW-AGLD,361.0,-0.0719794344,646994146.8793051,1732437.53937636,241,172,1778888742253
2053372,KRW-ID,46.6,-0.0566801619,982285165.6469718,20778008.79679101,204,137,1778888742253
2053373,KRW-IN,89.6,-0.0538542767,556885179.5481349,6093873.47904122,195,187,1778888742253
2053374,KRW-MANTRA,14.9,-0.0628930818,1471751956.2359135,95303267.73679885,222,109,1778888742253
2053375,KRW-WAL,112.0,-0.0743801653,608459344.1746054,5325259.19283843,243,176,1778888742253
2053376,KRW-PENDLE,2938.0,-0.0154155496,2338036432.6043935,777846.06514222,38,78,1778888742253
2053377,KRW-BLUR,36.1,-0.05,1232403462.32594,33757478.41618177,181,119,1778888742253
2053378,KRW-AWE,83.2,0.0171149144,1461036428.3783581,17430834.18456908,13,111,1778888742253
2053379,KRW-THETA,318.0,-0.056379822,585413091.1016799,1807874.32479124,202,182,1778888742253
2053380,KRW-AXL,95.0,-0.0306122449,2128004842.4262187,21864165.03972998,93,84,1778888742253
2053381,KRW-HP,24.6,-0.0716981132,4446118610.689429,176529784.6698062,240,45,1778888742253
2053382,KRW-SAND,111.0,-0.0512820513,3496544121.343404,30914324.21394457,185,61,1778888742253
2053383,KRW-WCT,92.3,-0.0484536082,1165390467.504747,12386345.59302247,173,122,1778888742253
2053384,KRW-YGG,58.4,-0.0685805423,354172699.7473419,5797471.71397803,233,217,1778888742253
2053385,KRW-AXS,1782.0,-0.0470588235,2463162160.970456,1353268.72482738,164,76,1778888742253
2053386,KRW-ARDR,61.3,-0.0315955766,498880163.4484096,8093916.44083099,98,193,1778888742253
2053387,KRW-AQT,800.0,-0.0208078335,411571843.8010579,514783.34770921,54,208,1778888742253
2053388,KRW-ME,160.0,-0.0361445783,1199668677.161698,7303587.8580255,116,120,1778888742253
2053389,KRW-TRUST,102.0,-0.0377358491,899906610.9176401,8783098.38444307,126,142,1778888742253
2053390,KRW-SONIC,61.3,-0.0683890578,4275830068.3791776,67917602.40097626,232,48,1778888742253
2053391,KRW-ARB,185.0,-0.0512820513,1652405748.4568923,8750268.28314279,186,104,1778888742253
2053392,KRW-POL,135.0,-0.0357142857,2165012924.752088,15807345.96901801,114,82,1778888742253
2053393,KRW-CVC,46.0,-0.0233545648,6442694083.364667,131795547.14525554,60,32,1778888742253
2053394,KRW-T,8.71,-0.0300668151,357263219.8932435,40555371.76055539,90,216,1778888742253
2053395,KRW-W,19.7,-0.0751173709,3291415445.6284204,163684878.42246553,245,64,1778888742253
2053396,KRW-ARK,254.0,-0.0378787879,750893761.1184155,2925514.74103435,127,157,1778888742253
2053397,KRW-AVNT,215.0,-0.0444444444,2053019768.8760688,9473141.57531669,157,87,1778888742253
2053398,KRW-LA,195.0,-0.0487804878,2057371962.0441523,10154390.27121072,174,86,1778888742253
2053399,KRW-HYPER,164.0,-0.0238095238,812585806.4083085,4894614.88725514,62,151,1778888742253
2053400,KRW-ATH,9.15,-0.0701219512,3500683406.1953,371100308.9042327,237,60,1778888742253
2053401,KRW-TAIKO,167.0,-0.0402298851,556213385.9110672,3272257.38705709,140,188,1778888742253
2053402,KRW-AVAX,14180.0,-0.031420765,4256315781.522212,296310.77943931,96,50,1778888742253
2053403,KRW-XAUT,6759000.0,-0.0167297061,1695023191.12376,249.47844651,42,100,1778888742253
2053404,KRW-CPOOL,50.0,-0.0654205607,3543772119.6103606,69122131.2416217,229,58,1778888742253
2053405,KRW-IMX,276.0,-0.0769230769,3832080881.927489,13152347.37837107,248,54,1778888742253
2053406,KRW-SC,1.41,-0.0208333333,444312527.2273631,312271075.8206942,55,202,1778888742253
2053407,KRW-INJ,7255.0,-0.0479002625,5655791209.488663,756029.58804388,168,36,1778888742253
2053408,KRW-MVL,1.93,-0.0203045685,107035459.81447358,55515483.29058598,53,259,1778888742253
2053409,KRW-HIVE,91.3,-0.039957939,706579976.7022119,7669943.06773552,139,164,1778888742253
2053410,KRW-CBK,372.0,-0.03125,231887102.68866208,614474.49073576,95,240,1778888742253
2053411,KRW-XLM,231.0,-0.0375,14511299896.848305,61795840.36707161,125,18,1778888742253
2053412,KRW-OP,203.0,-0.0558139535,267571335.77605125,1298864.78693026,201,234,1778888742253
2053413,KRW-SAFE,211.0,-0.0365296804,138913352.42881882,644946.03182932,119,256,1778888742253
2053414,KRW-GLM,213.0,-0.0046728972,476222162.95265317,2268263.35390043,25,196,1778888742253
2053415,KRW-SUPER,183.0,-0.0518134715,429521157.9313505,2289267.09930488,191,206,1778888742253
2053416,KRW-LINEA,5.38,-0.0511463845,1025342247.5306526,184425274.02812406,184,130,1778888742253
2053417,KRW-KERNEL,101.0,0.0222672065,4272559963.2777295,40599221.82268664,9,49,1778888742253
2053418,KRW-POKT,16.9,-0.0287356322,576150373.31828,33738656.53278817,82,184,1778888742253
2053419,KRW-SENT,23.3,-0.0291666667,489497627.28962517,20554714.57542293,85,194,1778888742253
2053420,KRW-ZKC,107.0,-0.0530973451,652811008.7244368,5994121.4069106,193,171,1778888742253
2053421,KRW-KNC,211.0,-0.0321100917,663153101.6120077,3094653.12098832,104,170,1778888742253
2053422,KRW-ZKP,110.0,-0.0265486726,987364941.2601082,8670891.67842401,73,136,1778888742253
2053423,KRW-AUCTION,7155.0,-0.0158184319,323527475.875655,45082.91404497,40,220,1778888742253
2053424,KRW-ORDER,81.6,-0.0215827338,740909469.5189874,8981748.67995581,56,158,1778888742253
2053425,KRW-DRIFT,73.0,0.0369318182,47455784617.91001,620423296.636979,6,7,1778888742253
2053426,KRW-FCT2,18.1,-0.0320855615,200349610.9709721,10925979.83234371,103,246,1778888742253
2053427,KRW-MTL,457.0,-0.0193133047,187960025.4678253,408734.6954346,48,251,1778888742253
2053428,KRW-VET,10.4,-0.037037037,1650609798.8590596,154802100.4527337,124,105,1778888742253
2053429,KRW-TAO,423700.0,-0.0582351634,2956563040.8078,6760.17734523,209,66,1778888742253
2053430,KRW-QTUM,1385.0,-0.0448275862,874366222.164539,617364.65804509,159,144,1778888742253
2053431,KRW-TT,1.29,-0.030075188,199274950.75334516,152950487.706768,91,247,1778888742253
2053432,KRW-LINK,14990.0,-0.0316537468,7261488260.045621,478616.49447845,99,28,1778888742253
2053433,KRW-XRP,2136.0,-0.0259917921,195848364193.633,90132946.84531514,71,1,1778888742253
2053434,KRW-CHZ,67.6,0.0320610687,6070314498.633601,91552700.48391631,7,35,1778888742253
2053435,KRW-ASTR,12.9,-0.0152671756,734509457.9327651,56132794.59657682,37,159,1778888742253
2053436,KRW-ZK,24.6,-0.0751879699,839078244.242855,33365096.25644848,246,150,1778888742253
2053437,KRW-STORJ,204.0,0.275,17370522142.847946,89003182.44811282,1,16,1778888742253
2053438,KRW-ENA,165.0,-0.0782122905,5604541598.243209,32599002.79954455,249,37,1778888742253
2053439,KRW-MANA,136.0,-0.0422535211,383415486.53778195,2766253.22615342,146,211,1778888742253
2053440,KRW-OPEN,266.0,-0.0184501845,1977744653.5447955,7377603.32251634,46,92,1778888742253
2053441,KRW-PYTH,69.2,-0.0761014686,1346196415.6385949,18893307.89401669,247,114,1778888742253
2053442,KRW-ENS,10070.0,-0.0391221374,2937350915.10466,288827.08768243,135,68,1778888742253
2053443,KRW-GRT,40.0,-0.0314769976,1321140913.366021,32302393.82341645,97,115,1778888742253
2053444,KRW-PUMP,2.67,-0.0430107527,566608709.8771542,208216224.17700568,147,186,1778888742253
2053445,KRW-XTZ,543.0,-0.0286225403,191039006.49329272,348427.19612526,81,250,1778888742253
2053446,KRW-CKB,2.27,-0.0462184874,474727339.13960785,206835206.45260075,162,197,1778888742253
2053447,KRW-KAVA,88.3,-0.0535905681,7742142738.64549,80903545.32488745,194,26,1778888742253
2053448,KRW-TOSHI,0.271,-0.0355871886,436163917.0133782,1562502127.4702802,112,205,1778888742253
2053449,KRW-BARD,392.0,-0.0248756219,2154440911.5140986,5464612.78172744,63,83,1778888742253
2053450,KRW-ZRO,1952.0,-0.0619894282,1783286120.6083748,899645.83244396,221,95,1778888742253
2053451,KRW-RAY,1108.0,-0.0554134697,446827710.4479125,400055.84118999,200,201,1778888742253
2053452,KRW-ONDO,540.0,-0.0592334495,28089017183.049816,50295782.64566238,213,14,1778888742253
2053453,KRW-ZRX,167.0,-0.0290697674,256268634.18662846,1529792.79130322,84,236,1778888742253
2053454,KRW-GMT,17.3,-0.079787234,604857177.2099876,34288262.12656803,250,177,1778888742253
2053455,KRW-TFUEL,16.6,-0.0404624277,257772954.77086312,15307610.66286035,141,235,1778888742253
2053456,KRW-CFG,405.0,-0.0334128878,3689061556.0661764,9016483.22304265,107,56,1778888742253
2053457,KRW-AZTEC,31.4,-0.0872093023,7741249373.749821,221814990.52533025,254,27,1778888742253
2053458,KRW-XPL,134.0,-0.0629370629,5166577635.961068,37879049.02306784,223,40,1778888742253
2053459,KRW-ZAMA,40.5,0.0201511335,579525425.9087188,14771476.32212427,11,183,1778888742253
2053460,KRW-MASK,723.0,-0.04743083,351668156.2860483,477202.35862325,166,218,1778888742253
2053461,KRW-COMP,32870.0,-0.0266508736,290693129.5903422,8727.75863107,75,224,1778888742253
2053462,KRW-ZETA,78.7,-0.0518072289,1012204674.0040746,12572772.98334924,190,132,1778888742253
2053463,KRW-RED,201.0,-0.038277512,911942244.1432531,4377808.47156876,129,141,1778888742253
2053464,KRW-TIA,626.0,-0.0874635569,1461068561.6552875,2205343.07254195,255,110,1778888742253
2053465,KRW-ADA,389.0,-0.0250626566,10695039869.816729,27244373.59385209,64,20,1778888742253
2053466,KRW-ELF,119.0,-0.0083333333,276520090.76728654,2324859.76234281,29,229,1778888742253
2053467,KRW-SOON,257.0,-0.0265151515,2010194743.0753481,7841977.48064281,72,90,1778888742253
2053468,KRW-STEEM,86.0,-0.0114942529,636430542.5947042,7383199.90746344,32,173,1778888742253
2053469,KRW-ELSA,101.0,-0.0471698113,1136195623.1071482,11173997.46700828,165,123,1778888742253
2053470,KRW-SPK,50.6,0.012,5490242218.070393,109822396.98676375,16,38,1778888742253
2053471,KRW-SOPH,12.5,-0.0458015267,805178768.3286091,63184310.50491028,161,152,1778888742253
2053472,KRW-MED,3.14,-0.0278637771,360763757.8686317,113702553.05683419,80,215,1778888742253
2053473,KRW-1INCH,142.0,-0.0405405405,284813517.1400655,1974015.96385549,142,225,1778888742253
2053474,KRW-KAT,13.0,-0.0298507463,2165108890.503113,166476416.00479507,88,81,1778888742253
2053475,KRW-MEW,0.867,-0.0637149028,1701421394.9387043,1925726848.6928518,227,99,1778888742253
2053476,KRW-ORBS,12.7,-0.0230769231,282930478.6501558,22211195.28457358,59,226,1778888742253
2053477,KRW-RENDER,2798.0,-0.0028510335,2575719358.341578,931136.07442193,24,74,1778888742253
2053478,KRW-ORCA,2182.0,0.0172494172,3447789592.262899,1614309.55515,12,62,1778888742253
2053479,KRW-BERA,551.0,-0.0862354892,3879361458.876311,6775721.62925891,253,53,1778888742253
2053480,KRW-SIGN,22.3,-0.05907173,4091262574.011973,179857660.86014527,212,52,1778888742253
2053481,KRW-VANA,2261.0,-0.0199393151,725198626.726822,315914.49712533,52,162,1778888742253
2053482,KRW-DOT,1958.0,-0.0273224044,1091277688.6562746,550130.01636387,76,126,1778888742253
2053483,KRW-EDGE,152.0,-0.0193548387,841654707.1702212,5420793.52884889,49,149,1778888742253
2053484,KRW-MET2,230.0,-0.029535865,216395042.93324316,929352.35088204,86,243,1778888742253
2053485,KRW-MBL,1.4,-0.0277777778,1032208215.4693352,737439918.819073,79,129,1778888742253
2053486,KRW-FLUID,2418.0,-0.058411215,588633098.016784,229718.4701902,210,180,1778888742253
2053487,KRW-BIGTIME,19.5,-0.0441176471,698803034.9958324,35322541.3563606,155,166,1778888742253
2053488,KRW-SNT,14.9,-0.0197368421,454375417.95706946,30226703.40241882,51,200,1778888742253
